trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2018-07-18,000001.SZ,8.75,8.85,8.69,8.7,8.72,-0.02,-0.23,525152.77,460697.377
2018-07-17,000001.SZ,8.74,8.75,8.66,8.72,8.73,-0.01,-0.11,375356.33,326396.994
2018-07-16,000001.SZ,8.85,8.9,8.69,8.73,8.88,-0.15,-1.69,689845.58,603427.713
2018-07-13,000001.SZ,8.92,8.94,8.82,8.88,8.88,0.0,0.0,603378.21,535401.175
2018-07-12,000001.SZ,8.6,8.97,8.58,8.88,8.64,0.24,2.78,1140492.31,1008658.828
2018-07-11,000001.SZ,8.76,8.83,8.68,8.78,8.98,-0.2,-2.23,851296.7,744765.824
2018-07-10,000001.SZ,9.02,9.02,8.89,8.98,9.03,-0.05,-0.55,896862.02,803038.965
2018-07-09,000001.SZ,8.69,9.03,8.68,9.03,8.66,0.37,4.27,1409954.6,1255007.609
2018-07-06,000001.SZ,8.61,8.78,8.45,8.66,8.6,0.06,0.7,988282.69,852071.526
2018-07-05,000001.SZ,8.62,8.73,8.55,8.6,8.61,-0.01,-0.12,835768.77,722169.579
2018-07-04,000001.SZ,8.63,8.75,8.61,8.61,8.67,-0.06,-0.69,711153.37,617278.559
2018-07-03,000001.SZ,8.69,8.7,8.45,8.67,8.61,0.06,0.7,1274838.57,1096657.033
2018-07-02,000001.SZ,9.05,9.05,8.55,8.61,9.09,-0.48,-5.28,1315520.13,1158545.868
